Cluster	Rank	Freq	Range	NormFreq	NormRange
heel goed	1	167	1	0.204	1.000
is goed	2	82	1	0.100	1.000
zeer goed	3	78	1	0.095	1.000
goed om	4	37	1	0.045	1.000
goed pagina	5	34	1	0.042	1.000
een goed	6	19	1	0.023	1.000
goed met	7	17	1	0.021	1.000
goed en	8	12	1	0.015	1.000
goed op	9	10	1	0.012	1.000
en goed	9	10	1	0.012	1.000
zo goed	9	10	1	0.012	1.000
goed men	12	9	1	0.011	1.000
goed is	13	8	1	0.010	1.000
goed eeten	14	6	1	0.007	1.000
goed kalfs	14	6	1	0.007	1.000
excellent goed	14	6	1	0.007	1.000
goed als	17	5	1	0.006	1.000
goed vuur	17	5	1	0.006	1.000
goed deel	19	4	1	0.005	1.000
goed gely	19	4	1	0.005	1.000
goed haas	19	4	1	0.005	1.000
goed maar	19	4	1	0.005	1.000
goed voor	19	4	1	0.005	1.000
niet goed	19	4	1	0.005	1.000
puik goed	19	4	1	0.005	1.000
goed anderen	26	3	1	0.004	1.000
goed blyven	26	3	1	0.004	1.000
goed citroen	26	3	1	0.004	1.000
goed niet	26	3	1	0.004	1.000
goed oranje	26	3	1	0.004	1.000
goed osse	26	3	1	0.004	1.000
goed potagie	26	3	1	0.004	1.000
goed snoek	26	3	1	0.004	1.000
goed soepe	26	3	1	0.004	1.000
goed tot	26	3	1	0.004	1.000
goed vleesch	26	3	1	0.004	1.000
in goed	26	3	1	0.004	1.000
mede goed	26	3	1	0.004	1.000
goed artischokken	39	2	1	0.002	1.000
goed bramboze	39	2	1	0.002	1.000
goed brood	39	2	1	0.002	1.000
goed dog	39	2	1	0.002	1.000
goed eenige	39	2	1	0.002	1.000
goed eijeren	39	2	1	0.002	1.000
goed faisant	39	2	1	0.002	1.000
goed gedeelte	39	2	1	0.002	1.000
goed groote	39	2	1	0.002	1.000
goed ham	39	2	1	0.002	1.000
goed hier	39	2	1	0.002	1.000
goed hortolans	39	2	1	0.002	1.000
goed in	39	2	1	0.002	1.000
goed kan	39	2	1	0.002	1.000
goed karper	39	2	1	0.002	1.000
goed kervel	39	2	1	0.002	1.000
goed kiekens	39	2	1	0.002	1.000
goed kleine	39	2	1	0.002	1.000
goed konstig	39	2	1	0.002	1.000
goed kroppen	39	2	1	0.002	1.000
goed moerellen	39	2	1	0.002	1.000
goed mosselen	39	2	1	0.002	1.000
goed pastey	39	2	1	0.002	1.000
goed raauwe	39	2	1	0.002	1.000
goed ragout	39	2	1	0.002	1.000
goed rog	39	2	1	0.002	1.000
goed salade	39	2	1	0.002	1.000
goed saus	39	2	1	0.002	1.000
goed schol	39	2	1	0.002	1.000
goed speenvarken	39	2	1	0.002	1.000
goed stuk	39	2	1	0.002	1.000
goed taart	39	2	1	0.002	1.000
goed te	39	2	1	0.002	1.000
goed tongen	39	2	1	0.002	1.000
goed van	39	2	1	0.002	1.000
goed venezoen	39	2	1	0.002	1.000
goed wil	39	2	1	0.002	1.000
goed witte	39	2	1	0.002	1.000
goed zalm	39	2	1	0.002	1.000
goed zuiker	39	2	1	0.002	1.000
goed zyn	39	2	1	0.002	1.000
het goed	39	2	1	0.002	1.000
ook goed	39	2	1	0.002	1.000
tafel goed	39	2	1	0.002	1.000
twee goed	39	2	1	0.002	1.000
zyn goed	39	2	1	0.002	1.000
goed amandelen	85	1	1	0.001	1.000
goed amandeltaart	85	1	1	0.001	1.000
goed appel	85	1	1	0.001	1.000
goed appelen	85	1	1	0.001	1.000
goed arbolade	85	1	1	0.001	1.000
goed artisjokken	85	1	1	0.001	1.000
goed baars	85	1	1	0.001	1.000
goed beatille	85	1	1	0.001	1.000
goed beschuit	85	1	1	0.001	1.000
goed bevonden	85	1	1	0.001	1.000
goed bike	85	1	1	0.001	1.000
goed blamansjees	85	1	1	0.001	1.000
goed blyft	85	1	1	0.001	1.000
goed bláks	85	1	1	0.001	1.000
goed boekwyte	85	1	1	0.001	1.000
goed boeuf	85	1	1	0.001	1.000
