Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
is	1	11780	365	353	12	1	754.367	2.638
heel	2	2540	172	172	0	1	595.951	3.766
hoe	3	8930	209	0	209	1	327.926	2.234
zeer	4	2150	87	82	5	1	216.258	3.024
en	5	46350	121	76	45	1	66.546	-0.931
die	6	18030	175	22	153	1	65.514	0.964
de	7	27130	54	28	26	1	64.947	-1.322
zal	8	9050	4	3	1	1	63.305	-3.493
gegeeten	9	390	21	6	15	1	62.944	3.436
men	10	24960	216	8	208	1	57.942	0.798
bakken	11	3130	52	42	10	1	53.282	1.739
het	12	23570	50	38	12	1	50.650	-1.230
neemt	13	8130	8	0	8	1	39.372	-2.338
fruiten	14	780	21	1	20	1	37.124	2.436
doet	15	7470	8	5	3	1	34.092	-2.216
om	16	4860	56	7	49	1	30.869	1.211
saus	17	1810	30	16	14	1	30.560	1.736
dan	18	13150	28	26	2	1	27.794	-1.225
laat	19	4590	3	3	0	1	27.686	-2.929
wat	20	9860	18	14	4	1	26.369	-1.447
er	21	9180	16	9	7	1	26.107	-1.514
eeten	22	940	19	3	16	1	24.888	2.022
limoensap	23	450	13	8	5	1	24.496	2.537
aanduiding	24	3190	39	3	36	1	24.161	1.297
mede	25	1460	24	20	4	1	24.150	1.724
over	26	2420	32	30	2	1	22.896	1.410
pagina	27	3470	40	3	37	1	22.017	1.212
in	28	18760	53	33	20	1	21.197	-0.817
taart	29	530	13	0	13	1	20.980	2.301
water	30	2830	1	0	1	1	20.979	-3.816
af	31	2770	1	1	0	1	20.421	-3.785
goed	32	4090	4	2	2	1	19.822	-2.347
laaten	33	1310	20	20	0	1	18.063	1.617
dit	34	3370	3	2	1	1	17.317	-2.483
aan	35	3730	4	2	2	1	16.954	-2.214
dat	36	7700	16	8	8	1	16.877	-1.260
gezet	37	390	10	9	1	1	16.856	2.365
schoon	38	2300	1	0	1	1	16.090	-3.517
