File	Left Context	Hit	Right Context
Nylandt_Vermakelijck_landt-leven1669.txt	gestooten beschuyt/ een weynigh Zout ven en Sout overgedaen/ is 	smakelijck 	en Boter/ set'et te stoven met de Artisiocen 
VolmaakteHollandseKeukenMeid.txt	en boven laate bakken, en met geraspte broodsuiker     bestrooid, is 	smakelyk 	en goed.                 40. Oblie, hoe men die bakken zal.       Neemt 
VolmaakteHollandseKeukenMeid.txt	strydende met     de Hollandsche wyze, die vry wat gezonder, alzo 	smakelyk, 	en minder Kostbaar     is. Het is waar eenige van 
Blankaart_borgerlykeTafel.txt	wilde als tam- {==67==} {>>pagina-aanduiding<<}  me, matig gegeten, is seer 	smakelijk 	en niet ongesond: men pleeg het by ouds den 
VolmaakteHollandseKeukenMeid.txt	sap in doet, en over de Vis giet; is zeer 	smakelyk.            {==38==} {>>	pagina-aanduiding<<}      17. Osse-Karbondade, hoe men die braaden zal.       
VolmaakteHollandseKeukenMeid.txt	kleine staande korsjes en laat ze gaar bakken, is zeer     	smakelyk.            {==17==} {>>	pagina-aanduiding<<}      24. Koekjes van Mev. van C...... die zeer 
VolmaakteHollandseKeukenMeid.txt	en Limoensap, of drukt 'er een Oranje-appel over, is 	smakelyk.            {==57==} {>>	pagina-aanduiding<<}      3. Frikkadellen die excellent zyn, hoe men die 
VolmaakteHollandseKeukenMeid.txt	het ingewand der kreeften en uitgepelde     garnaalen stooven is zeer 	smakelyk.  {==76==} {>>	pagina-aanduiding<<}                 22. Hoenders, hoe men die stooven zal.       Neemt 
VolmaakteHollandseKeukenMeid.txt	de Roomsgezinden op     Visdagen en in de Vasten, gezond en 	smakelyk 	kan toebereiden: Hoe men alles     tegen de winter inlegt. 
VolmaakteHollandseKeukenMeid.txt	de Roomsgezinden op Visdagen en in de     Vasten, gezont en 	smakelyk 	kan toebereiden: hoe men alles tegen de winter     inlegt, 
Nylandt_Vermakelijck_landt-leven1669.txt	en fijne gestoten Beschuyt/ en dan gebacken zijnde/ zijn gantsch 	smakelijck. 	Om een Appel-struyf te backen. Neemt 12 Rabau-appelen/ 
VolmaakteHollandseKeukenMeid.txt	gerolt en op dezelve wyze gebraaden     is zeer goed en 	smaakelyk.                 14. 	Om Varkens worst zonder zout, die excellent is en 
VolmaakteHollandseKeukenMeid.txt	het eerste glas wyn moet de Tractant zyn Vrienden een     	smakelyk 	eeten toewenschen, en de Vrienden moeten dit met een 
VolmaakteHollandseKeukenMeid.txt	legt de Lauwrier-bladeren 'er     boven op. Dit is een 	smakelyk 	eeten, met een saus van oly, en mostert door 
VolmaakteHollandseKeukenMeid.txt	laat het aldus een uur ruim staan bakken, is een 	smaakelyk     	eeten.      Tot de onder-korst van diergelyke gebakken neemt 
VolmaakteHollandseKeukenMeid.txt	af, en braad ze op een vet     papier, is een 	smakelyk 	eeten.                 13. Saucysen zonder darmen om versch te eeten.       Men 
Nylandt_Vermakelijck_landt-leven1669.txt	aert, kracht en gebruyck. der spijse gedaen/ maeckt de spijse 	smakelijck 	ende den mage aengenaem. Men kan van de De 
VolmaakteHollandseKeukenMeid.txt	die men hier over heen giet in de     schootel, is 	smakelyk.                2. 	Endvogels, hoe men die braaden zal.       Neemt Endvogels, maakt 
VolmaakteHollandseKeukenMeid.txt	wat zout in doen als men wil, is lugtig en 	smakelyk.                15. 	Gabletten, of Fransche wafelen, hoe men die bakken     zal.       
Nylandt_Vermakelijck_landt-leven1669.txt	Pastey te maken. Schaeps-voeten/ Sausisen/ Swesericken en wat meer 	smakelijck 	is/ dan wat FoeNEemt Osse-vlees/ een weynigh gelie/ 
VolmaakteHollandseKeukenMeid.txt	dan met     een saus van azyn en peper, is een 	smakelyk 	kosje.                       VI. Hoofdstuk.   Aanhangzel. Van het 1 stuk van     Pag. 96 
VolmaakteHollandseKeukenMeid.txt	en men doet 'er     nog wat peper op, is een 	smakelyk 	kosje.            {==97==} {>>pagina-aanduiding<<}       77. Vis, hoe men die excellent stooven     
VolmaakteHollandseKeukenMeid.txt	schud het om, dan bind de saus, is     fris en 	smakelyk.                32. 	Lams Boutje, a la daube, hoe men dat stooven     
Blankaart_borgerlykeTafel.txt	ziedharing. Aberdaan oft gesoute kabeljauw, Aberdaan. is wel hartelijk en 	smakelijk, 	maar d’aldergesonste niet, en geeft weinig voedsel. kan 
Nylandt_Vermakelijck_landt-leven1669.txt	vruchten, door Mesten, Koesteren, in Enten, tam, sacht, eetbaer, en 	smakelijck 	maken. Dese en meer andere zijn gemeen, en oock 
Nylandt_Vermakelijck_landt-leven1669.txt	vet/ voor 't Speck geeft een heel goede geur en 	smnakelijck. 	nemen. Om Frickedillen te maken sonder net. Om een 
Nylandt_Vermakelijck_landt-leven1669.txt	dan overkruyt/ en wel Boter/ is goet. gedaen/ is heel 	smakelijck. 	Om  De Verstandige Kock, tel-rant wel bestroyt met 
VolmaakteHollandseKeukenMeid.txt	door de saus tot dat het gebonden is, is zeer 	smakelyk.                52. 	Ragout van Duiven, Hoenders, en Zweserikken, hoe men     die 
VolmaakteHollandseKeukenMeid.txt	dat moet     apart gekookt worden.                9. Duiven, hoe men die zeer 	smakelyk 	stooven     zal.       Neemt 6 Duiven, geeft ze twee sneden in 
VolmaakteHollandseKeukenMeid.txt	hoe men die stooven       zal. 70 9. Duiven, hoe men die zeer 	smakelyk 	stooven       zal. 70 10. Endvogels, hoe men die op een excellente 
VolmaakteHollandseKeukenMeid.txt	toe met de bovenkorst en bakt het gaar, is zeer     	smakelyk.                57. 	Taart van Orange appelen, hoe men die maaken     zal.       
VolmaakteHollandseKeukenMeid.txt	eetwaren bederft, daar een verstandige Keuken-Meid     geringe spyzen zelfs 	smakelyk 	weet te maaken. Dit is nog niet genoeg; maar 
Nylandt_Vermakelijck_landt-leven1669.txt	Rooswater/ en 3 Eperen daer on't sal seer groen en 	smakelijck 	zijn. der geroert/ wat Spaense-wijn daer doo ge 
