File	Left Context	Hit	Right Context
VolmaakteHollandseKeukenMeid.txt	ze in     een Taartepan een half uurtje bakken is heel 	goed.                 26. 	Kervel-Koekjes, hoe men die bakken zal.       Neemt kervel 
VolmaakteHollandseKeukenMeid.txt	kan men 'er wat brood suiker over     raspen is heel 	goed.                 27. 	Kervel-taart, in een korst, hoe men die bakken     
VolmaakteHollandseKeukenMeid.txt	ondertusschen eens omgeschud, en een uurtje laaten doorstoven, is     heel 	goed.                 22. 	Kiekens hoe men die stooven zal.       Neemt wel schoon 
VolmaakteHollandseKeukenMeid.txt	booter stooven, tot dat ze gaar zyn, is mede heel 	goed.                 23. 	Kiekens pottagie, met erreten.       Neemt Kiekens en laat die 
VolmaakteHollandseKeukenMeid.txt	met wat vuur onder en boven     laaten bakken, is heel 	goed.                 30. 	Kleine Karssetaartjes, hoe men die bakken     zal.             Legt de 
VolmaakteHollandseKeukenMeid.txt	met wat vuur onder en boven laaten bakken is zeer 	goed.                 31. 	Kleine Zuster, hoe men die bakken zal.       Neemt 2 ponden 
VolmaakteHollandseKeukenMeid.txt	Gasten Voor te dienen. Nevens de Wyze om allerhande Tafel-	goed 	Konstig en     cierlyk te Vouwen. Vergadert uit verscheidene handschriften 
VolmaakteHollandseKeukenMeid.txt	Gasten voor te dienen, nevens de wyze om allerhande Tafel-	Goed     	konstig en cierlyk te vouwen, vergadert uit verscheide handschriften 
VolmaakteHollandseKeukenMeid.txt	koude booter by doen om het     sap te binden, is 	goed.                31. 	Kroppen hoe men die stooven zal.       Neemt schoon gewassen 
VolmaakteHollandseKeukenMeid.txt	in, is des Winters als het koud is     mede heel 	goed.                 13. 	Kroppen om des Winters te stooven, hoe men die 
VolmaakteHollandseKeukenMeid.txt	ze dan uit en in een pot gedaan is heel 	goed.                 36. 	Moerellen, hoe men die confyten zal.       Neemt een pond 
VolmaakteHollandseKeukenMeid.txt	die met oly en azyn, en harde eijeren is     heel 	goed.                 17. 	Moerellen, hoe men die in zal zulten, om by 
VolmaakteHollandseKeukenMeid.txt	saus van booter, met kappers, en gekurvene     petercelie, is zeer 	goed.                 28. 	Mosselen, hoe men die voor de Vasten kooken zal.            
VolmaakteHollandseKeukenMeid.txt	moet het geduurig     bedruipen en lang laaten stooven, is zeer 	goed.                33. 	Mosselen, hoe men die kooken zal.       Neemt goede Mosselen 
VolmaakteHollandseKeukenMeid.txt	lardeerd die, en braad die aan 't spit, is heel 	goed 	om     gegeeten te worden, met een saus van vlees-
VolmaakteHollandseKeukenMeid.txt	raspt men wat notemuscaat op de borst, is ook heel 	goed 	om     met de volgende saus gegeeten te worden.      Neemt 
VolmaakteHollandseKeukenMeid.txt	als     die koud zyn zet ze dan weg is heel 	goed.                 42. 	Oranje bloessem, hoe men die confyten zal.       Kookt de 
VolmaakteHollandseKeukenMeid.txt	op van krachtig     vleeschnat, met booter en Limoensap, is puik 	goed.                 42. 	Oranje taart, hoe men die bakken zal.       Neemt drie 
VolmaakteHollandseKeukenMeid.txt	en laat     het zo een uurtje bakken, is dan heel 	goed.                 49. 	Pastey in een schotel hoe men die bakken     zal.       
VolmaakteHollandseKeukenMeid.txt	zo een uur of twee te bakken gezet, is heel 	goed.                 47. 	Pastey van gehakt vleesch in een korst onder en 
VolmaakteHollandseKeukenMeid.txt	de pot     gebonden en in de kelder weggezet, is heel 	goed.                 22. 	Raauwe Quee-peeren, hoe men die inleggen zal om 
VolmaakteHollandseKeukenMeid.txt	kelder weg, om die des Winters     te stooven, is heel 	goed.                 23. 	Raauwe Snyboonen, hoe men die inleggen zal.           Neemt jonge 
VolmaakteHollandseKeukenMeid.txt	saus van Limoen-sap, met     zout en witte peper, is 	goed.                20. 	Ragout van Vleesch, op de Rooster gebraaden, hoe men     
VolmaakteHollandseKeukenMeid.txt	heeft, en genoeg zynde discht het zo op, is zeer 	goed.                54. 	Ragout van Zweserikken, hoe men die maaken     zal.       Neemt 
VolmaakteHollandseKeukenMeid.txt	en klein gesneedene limoenen, en fruit ze in booter is 	goed.                 29. 	Rog, hoe men die fruiten zal.       Neemt rog en 
VolmaakteHollandseKeukenMeid.txt	in de lucht zetten, om koud te worden, is zeer     	goed.                 35. 	Rog, hoe men die kooken zal voor de Vasten.           
VolmaakteHollandseKeukenMeid.txt	bedruipen, en eet die met een zuure saus is heel 	goed.                 41. 	Schol, hoe men die braden zal.       Neemt schol, maakt 
VolmaakteHollandseKeukenMeid.txt	toegedekt en laaten stooven, en altemets eens omgekeert, is     heel 	goed.                 37. 	Schol, hoe men die kooken en stooven zal voor 
VolmaakteHollandseKeukenMeid.txt	braden, en eet die dan met een zuure     saus, is 	goed.                 43. 	Speenvarken, hoe men dat braaden zal.       Neemt een Speenvarken 
VolmaakteHollandseKeukenMeid.txt	legt ze in     den azyn om naderhand te gebruiken is 	goed.                 31. 	Speenvarken, hoe men dat inzulten zal.       Als het speenvarken 
VolmaakteHollandseKeukenMeid.txt	ligt ze 'er af, en doet in die appelen een     	goed 	stuk booter met wat suiker, dat men 'er door 
VolmaakteHollandseKeukenMeid.txt	vinger en den duim vatten kan,     en  {==80==} {>>pagina-aanduiding<<}  een 	goed 	stuk kaneel daar by gestooten, en dan te zaamen 
